,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
가평,21509,8023,8534,7135,5727,4253,10020,7777,2272,,
각계,1635,1398,1190,958,760,481,481,413,364,219,298
간석,1728,,,1728,,1440,1742,2602,398,,
강경,384736,380259,387418,359369,328872,292318,277544,273899,273117,174067,182901
강릉,449106,450138,502063,337251,,,128969,3314678,3467189,1973226,2093044
개포,4097,6452,6573,5760,6037,5915,6467,6652,6572,5314,2210
건천,9381,10193,12404,12532,8738,6258,6773,7791,7628,5372,6579
검암,,,,94890,198655,248115,326348,41854,,,
경산,2056135,2162891,2273562,2297712,2297736,2255506,2254212,2254288,2235152,1369967,1542715
경주,1018357,1085343,1141127,1173090,1137792,979516,983115,959585,981159,619233,755722
계룡,561743,603672,618725,620489,594790,582581,597676,626844,646318,396452,416547
고한,108325,106969,116150,105971,93189,78182,70715,68148,,,41642
곡성,250787,279910,278356,275061,292054,282489,304910,307197,303025,161164,177562
공주,,,,,106795,145970,141442,168534,189890,115511,143034
광명,5345443,6825340,7244032,7249992,7892558,8493167,8324481,9435226,10067721,6619143,7301648
광양,19709,14632,19499,16985,14014,11714,19663,26024,24107,14390,17934
광운대,,,3098,4856,14060,4456,2478,928,3286,512,
광주,1701459,1852056,1822319,1773877,767761,391041,446527,447339,434993,311619,373268
광주송정,1448777,1826822,1848097,1816948,3997775,5120695,4652600,4955361,5191499,3204768,3634919
광천,340358,339224,340026,341036,325551,305339,301986,302511,299381,186726,211040
괴동,680,,864,576,,1092,458,430,,,15936
구례구,206735,217468,206695,202516,199276,189794,203128,200151,209850,131413,154198
구리,286,326,102,300,1191,116,,,,,
구미,5376490,5450171,5820706,5740641,5452133,5135654,5144615,5128331,5120550,3200567,3454701
구포,4166342,4083910,4044512,4030196,3742496,3597597,3349532,3280231,3205738,1895360,1912852
군북,58748,58882,50159,48178,50343,54599,56545,65241,67177,40043,36078
군산,356822,366247,376179,405097,436921,418542,413711,406323,415981,247519,282472
극락강,26134,25975,24560,23542,21240,20029,24156,25170,23684,25263,30899
기장,187999,223188,285212,317434,345860,338196,270712,282440,292756,203430,227314
김유정,11588,1800,1516,4,783,1578,1485,670,,,
김제,526130,553600,553478,540202,478276,433671,412411,417881,431780,275582,294826
김천,2336957,2362079,2473247,2445926,2307727,2159276,2036684,1974827,2221289,1301410,1308570
김천구미,684081,812257,938677,1118281,1358137,1685868,1658507,1751397,1853861,1244865,1469405
나전,1592,,,,841,442,597,418,352,77,5
나주,321385,361315,328826,374453,602975,753788,739735,800001,850586,579247,654039
남성현,3389,3556,3397,6807,9619,9472,10032,9085,7832,5185,5480
남원,566866,643176,706991,687739,710045,698292,718049,727699,762659,528356,578431
남창,273602,322735,371124,361298,364451,316437,334370,364486,374455,249301,263154
남춘천,394,38,535,78,864,,,,,,
논산,1407292,1474530,1480418,1465250,1405163,1343325,1310193,1320548,1351293,878872,938570
능곡,3176,2960,8806,11157,13308,11290,3275,,,,
능주,7989,9199,7920,9043,8281,7388,6763,6409,5826,2973,2897
다시,12314,12046,10868,10211,8008,7297,5837,4919,5515,3832,3745
단양,133040,143050,175498,192343,194100,186690,189783,189751,190037,116756,163255
대광리,69883,73182,71162,30940,16321,10306,6705,3371,1207,,
대구,6024709,6106947,6408234,6349233,6282527,6147326,5762512,5600030,5411628,3101849,3256917
대야,7443,8688,8349,8362,7522,7035,6719,6429,7197,196,3878
대전,15532829,16583348,17055732,17373917,17132126,17114774,15403877,15679582,16285794,9786135,10837136
대천,1160775,1191637,1226321,1244852,1226564,1171024,1145274,1117927,1128345,678521,722570
덕소,40034,38913,56125,62822,69176,71347,69172,69501,74673,41584,67940
덕정,882,1276,2,2,972,762,,376,,,
덕하,66428,79888,94811,98700,97708,84801,72504,74530,80194,64820,74227
도계,169742,191993,197193,193802,165460,148139,126708,123592,130027,52035,67008
도고온천,88105,81842,78945,78155,73989,66500,60817,58719,55991,26898,25407
도농,186,280,128,410,728,176,4,,,,
도라산,14180,17713,14903,60220,42706,20934,32000,41212,34021,,
동대구,17022898,18424544,18976677,19407143,19276509,19407648,18290986,18771790,19370748,11148783,13465197
동두천,535917,540006,851892,586014,439056,412787,432664,364617,92385,566,
동두천중앙,,24,2200,278,600,1102,,,,,
동래,143592,167781,207782,236118,187378,,,,,,
동백산,,21472,39381,33837,30073,24030,22746,19749,18517,12009,14377
동인천,10698,11946,8817,6863,7933,,,,,,
동해,252422,265493,276995,270114,225368,192349,177470,147692,154288,306089,411785
동화,1273,26976,35525,38976,46115,54966,52302,46373,36381,18291,262
둔내,,,,,,,3833,107902,116058,76340,89430
득량,22619,22400,20338,25571,27072,19132,17288,13454,13288,8261,6888
마산,625954,1048647,1143366,1131189,1067000,1037502,1104974,1125342,1170558,734792,809756
마석,822,1226,2056,1126,1082,538,2284,3058,2108,,
만종,,,,,,,18339,610395,823709,675251,711243
망상해변,,,,10412,6115,7178,4048,3730,3102,,
망우,3916,762,1190,370,994,998,2476,,4686,,
매곡,13574,15158,15183,13610,13266,13100,13498,11363,11254,7966,7636
명봉,4528,4495,3136,3169,3251,,2784,2860,2716,1987,1863
목포,1450426,1696199,1660825,1600366,1773247,1910054,1772075,1811328,1950146,1249011,1397622
몽탄,20085,18342,17768,16811,16600,16054,15037,12949,13458,10145,8787
무안,22057,21695,21498,20793,17285,14616,11610,11367,11558,6111,6957
묵호,160069,161328,181057,180799,140575,132461,125964,104838,129951,123023,157082
문산,124038,85026,77530,25536,6229,2739,2139,4983,5886,,
물금,291135,324023,382378,449865,497875,516125,708581,858065,889369,589379,621375
민둥산,89298,90870,97335,90818,87209,64204,54046,48615,45641,25505,30419
밀양,3006615,3044938,3051704,2962167,2725380,2622130,2509124,2486569,2440084,1568889,1657906
반곡,,,,3131,27155,57548,62626,55415,54496,44439,439
반성,43296,43090,66057,54584,45911,37821,32649,28946,29109,18723,18494
백마고지,,33310,346092,402348,365154,349237,354554,190692,78775,,
백양사,64167,68748,66227,62393,55771,50643,52297,52837,53459,35921,39928
백운,2500,864,2016,950,6782,7970,11451,18168,12528,,
벌교,49467,39912,33899,36705,31413,27540,22980,22408,21498,12805,13199
별어곡,735,,,,185,96,174,174,209,47,3
보성,137433,125143,114902,121678,112884,96564,81964,70471,68053,45967,42795
봉양,8002,8203,11892,10553,3016,,,,,,5547
봉화,34587,43438,43056,40079,34843,29637,30277,29724,29474,14725,18117
부강,125678,131182,138835,146306,135729,128803,114543,113248,107460,69532,80988
부산,17191146,17759984,18407596,18963844,18772202,18692153,15633249,15433022,15617590,8162606,8374869
부전,925201,1015353,1190194,1447887,1576306,1543882,1304064,1291045,1282599,817037,870229
북영천,13665,14423,12425,12667,11587,9227,7521,6541,6140,3176,2900
북천,57559,50958,56410,55246,39257,28771,38978,35183,29103,11762,11770
분천,11619,12585,243826,264270,255695,196480,218091,165715,163044,51336,24497
불국사,98397,115851,144088,152495,160194,137008,130421,138273,142730,85657,106500
비동,,,,54,114,71,4,90,205,66,46
사곡,17444,20488,21069,25779,31222,26351,34663,34216,36114,6002,
사북,170457,177612,190130,185136,175546,161216,149006,127836,,,97531
사상,71799,72418,82507,88013,79552,73713,73196,67459,67100,51503,54120
삼랑진,466509,437240,451815,444303,442716,422266,413955,400351,378575,256771,265189
삼례,105252,107031,116343,116589,,109830,106759,117658,123316,80073,94773
삼산,,,428,3192,,2549,3241,3461,3420,2990,4227
삼탄,13203,17423,19289,22762,,,15510,14017,13855,1873,2425
삽교,241500,228663,248213,250918,229229,220061,215936,222742,236243,157721,173015
상동,117822,118379,117744,109586,98242,91414,94292,89611,89081,57808,58518
상주,173929,181139,187228,182086,175586,158770,148986,144377,94876,63450,45386
서경주,130627,155484,208337,238940,230482,199801,212271,211544,209565,130647,897
서광주,44944,37446,36619,34820,30009,25093,20901,17404,17175,11251,10366
서대전,4659073,4825109,4894428,4984609,4180375,3722935,3784817,3941844,4000962,2476580,2615099
서빙고,26280,15624,6048,432,1630,,,1434,3611,4,5
서울,31603672,34355270,35066927,35871609,35224006,35243470,30107173,33899743,37200652,21830958,23570266
서정리,160803,172243,184721,186278,157821,139971,50311,54004,57031,36805,42270
서천,341302,342117,339122,336514,311591,299129,291406,281826,276877,168462,170883
석불,1034,,13,2373,2041,1708,1571,2066,1699,3002,4936
석포,39705,34745,30474,65563,25227,21701,19655,17043,16538,9526,11064
선평,771,,,,184,202,430,182,168,61,2
성환,146180,146240,157148,145777,128832,111899,57591,64315,73127,48806,52272
센텀,,,,,,232214,214388,223609,236187,166455,187186
소요산,34605,54237,61597,46410,38811,37432,12949,10503,2894,,
소정리,5145,3954,3848,2747,2482,3387,1063,,,,
송정,74450,83323,113745,106678,102424,77198,,,,,
수색,6585,1901,3534,1447,3394,4966,586,2618,2411,6,4
수원,12188144,12535868,13247527,13813167,13531902,13225634,12185442,12721304,13500202,8356613,8603522
순천,1315649,1833636,1937380,1846078,2070527,2151688,2386835,2443769,2552064,1647052,1746912
승부,57833,49711,64883,4953,27895,24565,27944,23799,20493,8735,8360
신경주,2068210,2161423,2229546,2390497,1904283,1607935,1170341,1207846,1370198,771280,1062995
신기,9123,8368,8606,10594,7297,7356,6325,2689,2605,1430,1597
신녕,3169,2452,2621,2693,2710,2858,2546,2308,2664,1967,3125
신동,10829,10687,11616,8910,8110,7436,7680,7208,7944,5537,6071
신례원,218409,211367,211954,203680,195796,175743,155056,149375,150296,92416,93565
신림,13448,,14491,14365,15398,12690,13124,12463,13708,9653,274
신망리,14707,14305,21488,11262,6460,5417,3195,1888,597,,
신창,254713,257615,272761,235517,159544,123967,37935,40952,39694,5614,
신창원,3689,3330,2213,1419,147,,,,,,
신탄리,427394,430279,397359,154405,74112,56242,50965,26031,8144,,
신탄진,1405968,1512550,1591929,1646155,1564817,1465054,1357295,1357819,1399118,950922,1011496
신태인,144662,145250,142180,135074,125029,115901,107328,106236,104341,71789,74171
신해운대,974698,1074413,1192170,846032,815177,649927,497713,430724,422960,258799,289008
심천,21412,21379,20976,19266,18879,14758,15287,16537,17901,12548,12242
쌍룡,,,,2309,2981,2679,2779,3047,2605,1540,1801
아산,436717,1102072,1177239,1187502,1104453,1009389,809139,849162,873849,505504,569631
아우라지,12638,12236,14229,11465,38275,10666,9678,5806,5722,1049,15
안강,46331,41293,39874,38629,28431,21395,17615,17257,16888,14634,297
안동,618469,657844,703292,722688,687880,620882,590227,537345,522869,5862,569133
안양,606232,632423,671053,629664,566848,512437,424563,454504,468785,300282,292421
약목,111453,113895,129270,124499,118293,112347,109452,117212,105967,66982,77758
양동,136882,144251,167357,191448,198425,196346,196219,189815,192511,117566,140133
양보,4763,4286,3181,2696,2219,1507,,,,,
양수,144,152,212,904,1072,42,642,,,,
양원,1079,974,1976,28158,6261,6021,7216,5216,5448,2099,2969
양평,537220,682726,789623,864629,882508,834463,814065,988770,1133297,751594,742945
여수엑스포,141221,1854267,944614,965588,1195667,1209480,1532167,1649853,1761793,1029780,1057133
여천,409740,468002,454527,465232,529927,572650,641177,699755,736257,513560,521036
연무대,38891,29864,14544,6696,,,,,864,,
연산,41443,39024,43505,42259,52507,34093,33734,36015,37782,13880,15870
연천,72161,75666,129349,85598,68087,64138,62380,166411,11355,,
영동,1331531,1358128,1402380,1425478,1397967,1302451,1227158,1243435,1254227,721905,714443
영등포,10178381,10319542,10656721,10574938,10050659,9630687,8981086,9074772,9475826,5987176,5928616
영월,169427,186032,214579,218389,194061,164349,156797,146729,152801,101443,133789
영주,593181,617646,685679,701675,682510,613197,589026,538921,534704,317597,442952
영천,662214,687228,761359,789152,771197,727976,790265,847882,832377,534409,604943
예당,28705,26711,23828,22588,21093,18916,16240,12562,12102,7099,6453
예미,35809,38875,40897,39566,37685,34785,32969,32548,33484,21756,22298
예산,820036,806411,840353,821482,780821,728822,692278,705615,727325,452482,502556
예천,44627,44638,44851,48531,47742,40439,38804,34063,31280,22617,17015
오근장,255276,264189,279431,284307,292662,268048,286303,296212,319433,199167,219209
오산,434730,466986,506481,493055,426790,380077,192259,215241,227556,148898,154708
오송,1082779,1409303,2285354,2958223,4149951,4973494,5293278,5991217,6760011,4777608,5594501
오수,103817,102790,105423,100259,89305,81056,78916,75098,75590,53632,55665
옥곡,8644,10927,12885,15013,13929,6071,,,,,
옥산,31495,31483,31852,31841,31807,27821,25366,25360,21738,15397,13102
옥천,389839,405049,431201,448153,445613,421151,430139,448607,455082,289049,300680
온양온천,1086356,1097523,1136891,1115622,1039582,974297,858853,817929,784743,444252,446322
완사,3976,3826,6369,5691,6946,5283,6259,7482,7627,5425,6280
왜관,1650256,1637459,1799084,1828626,1827167,1798217,1791757,1817614,1793979,1056514,1114207
용궁,10424,10863,11186,10513,10373,8581,7623,8039,5748,4229,3164
용문,163148,179799,206224,218438,212240,204823,204915,242904,283833,192688,184240
용산,7524868,9001407,8819852,8810739,11039411,12793151,14317533,14194667,13782083,8381983,9003669
운천,5134,2630,2586,1016,37,20,14,20,12,,
울산,3841412,4537128,4986555,5411145,5455628,5554671,4255183,4265804,4283631,2515770,2623942
웅천,171525,168151,169205,168793,159952,155160,153143,147852,144056,83741,80122
원동,154233,145119,168475,187180,186844,175347,189053,168766,175901,69625,82386
원주,1184828,1302160,1650395,1774441,1890995,1857595,1782239,1436325,1364942,797359,884729
월내,65818,78652,110252,97390,109463,108912,71917,60265,33217,,
음성,119385,129650,136201,139895,147161,141181,143050,141718,140057,96618,111024
의성,98292,110186,112399,111979,104450,96620,91408,88768,87685,54377,55201
의왕,460,,,300,552,2000,1820,1620,2000,,
의정부,4320,7550,3543,3210,5558,9339,12147,7568,6805,,
이양,13180,12108,9414,7301,6024,5639,5347,4962,5468,3593,3408
이원,27974,26045,29090,32463,30767,26111,25365,27980,29233,20943,20070
익산,3644655,3896660,3871394,3900864,4477499,4855852,4793720,5101064,5438254,3402101,3751769
인천공항 T1,,,,295637,627738,704619,944264,135030,4357,,
일로,50951,51846,56390,53641,,47187,44015,40227,44371,26449,27181
일산,4090,1786,2878,2076,3460,,900,820,,,
일신,,,1721,14308,12659,11739,12214,10602,11506,8000,10222
임기,2428,2008,1774,1018,853,934,989,862,866,372,688
임성리,27736,24776,22480,19455,13350,12200,11257,8559,7982,4930,5430
임실,63832,56069,58915,65782,73627,73371,73059,71513,79261,51643,53109
임진강,119958,81095,74684,25583,8693,1692,3576,3973,3696,,
장성,404820,440538,436650,426913,305933,249210,235089,237155,253452,163969,166000
장항,120066,115758,108586,173225,181463,158660,160188,148283,148504,60887,63568
전곡,71963,73855,124780,79256,64519,58046,48959,36124,7114,,
전의,139388,138496,142593,150786,139804,124757,103181,95920,90975,57686,61558
전주,1351835,1772417,1991949,2340432,2558479,2676783,2978841,3063088,3217361,2113450,2440865
점촌,140600,146818,149446,151967,138901,119811,107923,108829,78306,51070,35474
정동진,361028,372638,387754,385196,459703,382563,398649,269238,233186,149460,162202
정선,51536,51123,55517,52173,39651,26383,33569,19261,20697,2557,43
정읍,1082215,1116201,1132388,1090633,1154229,1207910,1107197,1147203,1190176,750400,822334
제천,1540844,1627139,1890353,1822347,1698900,1537636,1538110,1426531,1429294,831636,1175704
조성,26613,23115,18767,18062,16754,15268,12643,11724,11529,7361,6631
조치원,3754342,3893152,4204482,4319579,4083741,3783824,3440535,3422009,3468411,2124825,2241400
좌천,68257,83199,117225,115154,113090,99441,78125,84748,104493,83920,84881
주덕,55553,61180,68785,66877,66835,66232,71595,80793,88045,66092,73212
중동,2160,1756,2036,2148,5168,12,5214,1122,884,,
중리,53230,54755,84835,98064,77172,70359,67006,65087,66075,47020,48160
증평,157186,177023,195360,211480,227530,212663,210802,213675,223380,147219,165743
