,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
가평,7,21,37,58,92,114,141,168,215,251,286,318,331
각계,0,0,0,0,12,27,35,63,76,94,119,139,154
간석,3,13,20,31,53,89,93,123,138,163,205,235,250
강경,0,3,14,15,34,49,61,77,93,116,132,145,152
강릉,13,28,47,68,104,144,271,472,532,650,797,901,920
개포,0,2,6,12,21,35,45,64,81,100,118,132,135
건천,3,3,7,9,24,37,43,64,85,111,168,182,189
검암,17,30,62,139,226,342,427,580,629,693,747,807,841
경산,0,20,39,54,86,145,188,248,277,322,373,455,467
경주,0,7,26,64,155,203,253,310,347,455,747,902,1018
계룡,0,3,13,16,49,80,129,182,217,263,294,340,352
고한,1,2,6,11,25,30,34,50,61,91,101,110,116
곡성,2,4,16,38,73,106,148,182,214,278,318,340,353
공주,0,9,23,108,525,640,761,807,845,883,904,953,977
광명,0,34,90,180,344,590,807,1098,1324,1516,1700,1888,1947
광양,3,13,24,46,77,107,116,130,151,172,200,219,225
광운대,0,0,93,152,225,314,385,527,611,757,946,1117,1175
광주송정,0,0,23,63,237,366,482,614,742,899,1017,1127,1171
광주,6,12,31,74,153,264,428,530,621,761,881,935,962
광천,3,4,9,12,21,35,47,61,77,106,125,142,156
괴동,4,6,12,15,32,41,67,71,83,99,106,112,114
구례구,10,13,30,43,86,120,129,159,187,231,278,316,361
구리,7,14,31,67,97,145,175,218,286,351,414,492,513
구미,2,47,70,91,154,198,251,309,368,428,516,599,644
구포,0,4,35,46,85,131,180,268,336,423,501,574,594
군북,0,8,18,28,54,68,74,96,115,141,160,203,210
군산,7,13,20,24,56,74,102,130,145,178,197,223,236
극락강,0,3,12,23,63,101,134,161,185,246,281,311,316
기장,0,4,22,29,82,195,279,330,372,425,544,620,666
김유정,5,23,39,50,74,101,124,157,185,217,244,274,292
김제,8,9,14,22,57,75,84,100,181,207,242,263,267
김천구미,28,44,76,93,172,279,355,438,528,633,739,830,862
김천,0,10,26,35,63,98,126,167,273,375,471,638,666
나전,3,3,8,11,23,44,60,67,70,86,94,114,117
나주,11,14,23,30,54,75,96,144,174,223,266,308,330
남성현,0,1,12,18,35,45,48,66,80,101,119,144,149
남원,13,17,26,34,77,102,115,137,167,207,235,263,275
남창,0,3,13,17,40,64,95,129,197,252,552,662,684
남춘천,18,29,44,58,86,124,146,190,238,286,327,364,381
논산,15,19,28,32,62,80,124,169,197,235,261,285,305
능곡,14,57,72,126,204,297,336,396,465,543,614,682,713
능주,3,5,13,22,46,56,58,66,74,96,120,129,138
다시,2,5,10,12,28,41,52,60,74,93,105,115,128
단양,3,4,10,26,48,59,78,98,129,199,271,310,324
대광리,2,11,14,19,31,43,49,72,103,138,156,170,175
대구,2,2,16,37,102,178,302,388,449,521,578,634,647
대야,2,4,10,17,46,73,89,101,117,203,219,238,243
대전,0,0,23,57,187,335,485,664,768,892,1026,1175,1310
대천,6,8,13,21,46,63,79,87,99,124,147,177,194
덕소,11,18,29,54,82,108,155,226,293,390,451,573,591
덕정,3,23,50,78,97,143,204,286,336,434,500,555,577
덕하,3,6,18,22,45,67,83,120,170,219,448,519,530
도계,7,15,19,21,36,56,68,89,103,137,162,181,192
도고온천,2,7,11,18,29,38,55,60,76,109,129,156,165
도농,6,10,22,49,73,103,120,147,174,194,245,304,325
도라산,12,34,41,64,104,176,214,269,325,447,751,864,917
동대구,4,4,13,69,230,461,748,936,1076,1244,1416,1581,1648
동두천,2,16,28,35,55,115,164,225,288,377,440,546,569
동두천중앙,4,18,30,46,64,103,128,174,198,252,295,372,391
동래,7,7,14,23,76,174,228,268,309,369,424,492,505
동백산,0,27,30,37,52,79,101,121,134,173,188,222,226
동인천,14,30,55,86,149,253,293,364,405,460,546,625,678
동해,9,12,15,18,48,78,112,208,259,396,485,551,568
동화,8,13,21,30,41,59,90,110,130,186,227,239,243
둔내,0,0,0,1,7,18,65,93,104,123,160,187,195
득량,0,0,11,22,41,49,58,72,87,107,122,135,137
마산,19,46,64,80,135,183,215,276,329,405,504,557,587
마석,5,19,37,49,74,97,124,155,184,214,249,281,292
만종,1,2,6,13,23,46,153,230,280,344,445,494,512
망상해변,0,2,4,16,26,34,39,52,72,89,118,135,139
망우,10,17,32,50,82,124,180,224,276,345,377,408,429
매곡,4,10,18,18,32,44,57,64,81,113,134,172,179
명봉,4,4,9,15,35,44,53,66,80,99,118,129,136
목포,11,22,31,40,61,99,141,197,249,313,367,413,426
몽탄,5,8,11,14,29,38,49,52,63,84,99,109,112
무안,3,4,13,16,31,40,54,57,64,84,101,112,115
묵호,0,5,8,9,22,33,43,67,95,156,212,282,292
문산,12,35,48,85,147,203,297,392,442,578,673,738,779
물금,13,17,25,39,66,91,102,157,194,234,272,357,373
민둥산,0,6,15,17,50,63,75,86,104,133,145,162,167
밀양,0,11,32,44,72,99,115,158,195,232,294,354,372
반곡,2,2,10,15,28,43,55,72,96,133,169,180,190
반성,0,10,16,21,38,49,56,90,101,112,150,164,167
백마고지,0,35,60,82,127,152,193,239,300,365,427,477,487
백양사,0,0,7,11,29,40,49,60,79,93,111,120,128
백운,4,8,8,9,10,41,53,78,108,148,196,256,269
벌교,0,0,14,27,63,77,84,95,104,131,162,177,185
별어곡,3,3,6,8,19,27,35,40,44,56,63,73,77
보성,0,0,21,73,112,132,144,176,195,235,266,288,308
봉양,3,4,7,11,38,50,58,65,81,158,227,261,272
봉화,3,6,8,10,21,26,37,48,62,95,111,125,130
부강,0,7,15,21,37,52,78,107,121,150,173,196,202
부산,3,3,14,67,162,252,365,473,610,787,934,1071,1104
부전,1,1,13,48,131,271,348,435,501,634,828,921,951
북영천,1,2,7,12,26,40,49,65,89,115,154,178,197
북천,6,7,12,18,38,71,82,102,114,132,166,181,184
분천,0,0,7,10,30,42,54,65,81,118,138,157,162
불국사,4,8,14,14,30,41,57,89,116,149,223,249,261
비동,0,0,9,12,21,27,32,49,54,71,83,108,113
사곡,2,25,39,70,100,132,181,216,242,299,321,342,349
사북,3,6,10,10,21,29,38,52,64,94,100,113,117
사상,0,8,24,30,76,140,176,230,260,315,380,422,455
삼랑진,7,10,14,24,44,64,73,99,117,147,164,189,204
삼례,2,4,7,13,26,37,45,59,70,83,91,104,110
삼산,0,0,5,10,26,49,60,69,80,115,172,205,214
삼탄,3,4,11,13,28,38,44,58,69,105,126,140,148
삽교,0,0,4,8,21,32,44,51,69,84,107,138,153
상동,10,13,23,25,39,58,63,79,84,97,123,147,151
상주,0,0,0,0,8,19,21,30,51,74,98,116,117
서경주,0,0,0,0,0,0,0,0,0,0,43,123,140
서광주,0,2,18,40,68,80,95,106,126,150,175,195,206
서대전,16,20,41,73,158,225,295,362,419,512,590,693,726
서빙고,5,13,30,52,97,155,183,223,249,303,346,375,391
서울,19,66,156,304,602,936,1498,1969,2271,2710,3125,3645,3796
서정리,7,16,28,38,63,124,155,226,251,333,396,481,523
서천,6,7,11,13,27,37,47,61,78,101,118,133,142
석불,5,14,23,31,49,74,91,113,131,163,193,235,247
석포,1,5,10,13,22,37,49,60,70,114,131,143,150
선평,2,2,5,7,21,29,37,46,50,74,79,89,91
성환,6,14,31,42,94,132,162,218,259,336,383,474,503
센텀,4,4,14,25,130,280,358,427,468,513,617,663,683
소요산,0,2,20,41,84,141,234,306,376,543,634,762,813
소정리,0,2,9,11,25,40,62,78,83,100,109,122,125
송정,10,14,35,66,102,182,225,261,288,357,433,483,493
수색,8,33,54,102,139,174,197,239,289,331,486,800,848
수원,19,61,186,376,588,831,1067,1282,1459,1844,2009,2203,2292
순천,1,2,2,2,114,176,210,243,275,344,411,459,496
