,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
가평,21,14,17,12,24,24,17,9,3,9,10,11,2
각계,2,2,3,9,13,15,3,0,0,3,2,2,0
간석,14,4,11,4,8,17,2,7,9,11,5,7,0
강경,5,4,9,15,18,10,3,5,1,9,6,4,0
강릉,13,20,9,35,18,24,48,104,16,66,14,21,7
개포,1,7,6,4,3,5,1,1,1,13,1,1,0
건천,4,6,3,2,1,10,3,2,4,4,17,1,0
검암,27,21,26,76,41,110,21,48,14,15,12,13,3
경산,8,38,26,28,26,21,8,13,4,19,10,10,1
경주,20,40,22,39,33,33,32,21,2,12,58,44,59
계룡,12,4,20,24,31,30,31,8,3,18,2,17,6
고한,1,3,14,11,15,6,1,4,0,10,5,1,0
곡성,27,5,22,16,19,27,15,12,2,6,5,4,0
공주,0,0,0,10,81,39,26,17,7,5,6,8,2
광명,28,56,56,50,79,98,40,66,23,51,36,31,6
광양,8,12,20,11,8,29,9,15,1,4,4,3,0
광운대,26,38,152,42,73,53,8,27,50,60,27,35,6
광주송정,8,8,37,27,72,38,33,24,9,19,18,16,5
광주,14,6,31,29,51,33,17,11,10,20,5,16,2
광천,2,2,6,5,13,9,7,12,0,2,0,4,1
괴동,2,1,0,0,7,3,1,11,4,1,2,1,0
구례구,26,10,22,19,9,26,15,11,3,9,4,5,0
구리,27,15,32,33,28,45,11,15,3,26,7,42,8
구미,34,39,33,30,16,8,12,9,1,16,10,4,1
구포,15,6,26,36,37,53,23,20,12,13,8,6,0
군북,7,18,8,7,8,8,2,2,1,1,4,1,0
군산,7,16,14,9,16,11,9,13,1,5,1,1,1
극락강,5,3,3,7,6,9,5,2,2,10,1,3,2
기장,15,4,10,12,3,79,25,13,6,8,22,12,5
김유정,19,9,27,13,25,13,20,15,4,6,7,13,5
김제,2,4,11,17,23,13,9,6,17,16,5,24,1
김천구미,37,17,24,26,30,44,41,25,2,16,5,24,4
김천,12,15,15,25,16,15,9,10,2,28,15,3,0
나전,3,4,2,6,17,6,4,3,5,6,4,1,1
나주,3,4,23,10,50,67,41,9,4,13,2,20,1
남성현,1,1,6,8,7,9,5,1,1,5,2,2,0
남원,23,16,39,22,10,33,18,16,1,4,3,6,1
남창,13,11,9,6,5,17,16,17,12,18,125,54,2
남춘천,29,21,19,21,23,35,10,5,4,11,14,9,2
논산,12,3,18,27,27,27,27,12,13,17,2,4,2
능곡,6,8,11,51,32,40,29,37,23,53,53,23,21
능주,1,2,4,6,9,4,3,3,0,3,8,1,0
다시,1,5,3,5,5,9,7,1,2,4,1,1,0
단양,7,2,14,19,23,9,8,11,0,36,24,11,1
대광리,5,19,7,7,2,6,1,10,9,8,1,1,0
